,0.643710407,,,,,,1795913441,,,,8323,33677.31222,,98056.71734
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:32,0.251,0,99.749,0,0,0,1795682304,91787264,3340644352,3161808896,2635,1761,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1795506176,91787264,3340644352,3161985024,3311,1900,0,0
2019/10/17 0:32,0.251,0,99.749,0,0,0,1795506176,91787264,3340644352,3161985024,5022,2974,0,0
2019/10/17 0:32,0.5,0.5,99,0,0,0,1795497984,91787264,3340644352,3161993216,3650,2607,0,16384
2019/10/17 0:32,0.251,0.251,99.246,0.251,0,0,1795477504,91787264,3340648448,3162009600,3859,2319,0,57344
2019/10/17 0:32,0.251,0,99.749,0,0,0,1795457024,91787264,3340652544,3162025984,5360,2675,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1795313664,91787264,3340652544,3162169344,2407,1657,0,0
2019/10/17 0:32,0.5,0.25,99.25,0,0,0,1795313664,91787264,3340652544,3162169344,3113,1768,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1795313664,91787264,3340652544,3162169344,5171,2639,0,8192
2019/10/17 0:32,0.251,0,99.248,0.501,0,0,1795280896,91787264,3340652544,3162202112,2569,1652,0,40960
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1795280896,91787264,3340652544,3162202112,3757,2652,0,8192
2019/10/17 0:32,0.504,0.252,99.244,0,0,0,1795252224,91787264,3340664832,3162218496,26973,13893,0,221184
2019/10/17 0:32,0.503,0.251,99.246,0,0,0,1795248128,91787264,3340668928,3162218496,3147,1902,0,98304
2019/10/17 0:32,6.516,1.253,91.98,0,0,0.251,1803952128,91787264,3340681216,3153502208,29271,660992,0,172032
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1804214272,91787264,3340689408,3153231872,7402,13234,0,0
2019/10/17 0:32,0.503,6.03,89.447,4.02,0,0,1804906496,91787264,3340697600,3152531456,4510,4461,0,172032
2019/10/17 0:32,0.251,0.501,99.248,0,0,0,1804906496,91787264,3340697600,3152531456,5232,4321,0,0
2019/10/17 0:32,0.754,0.503,98.744,0,0,0,1805049856,91787264,3340697600,3152388096,9201,4773,0,237568
2019/10/17 0:32,0.501,0.501,98.997,0,0,0,1805062144,91787264,3340701696,3152371712,4200,3445,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1805180928,91787264,3340709888,3152244736,4147,3071,0,0
2019/10/17 0:32,0.501,0.251,98.747,0.501,0,0,1805053952,91787264,3340709888,3152371712,4567,1919,0,131072
2019/10/17 0:32,0.252,0.252,99.496,0,0,0,1805053952,91787264,3340709888,3152371712,3936,4350,0,0
2019/10/17 0:32,0.251,0.251,99.499,0,0,0,1805029376,91787264,3340709888,3152396288,3693,6314,0,32768
2019/10/17 0:32,0.5,0.25,99,0,0,0.25,1804972032,91787264,3340709888,3152453632,4308,2043,0,0
2019/10/17 0:32,0.251,0.251,99.499,0,0,0,1804947456,91787264,3340709888,3152478208,2767,1877,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1804812288,91787264,3340709888,3152613376,3113,2289,0,0
2019/10/17 0:32,1.003,1.003,97.744,0.251,0,0,1805283328,91787264,3340709888,3152142336,6829,3564,0,49152
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1805262848,91787264,3340713984,3152158720,2675,1950,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1804193792,91787264,3340718080,3153223680,5548,6899,0,0
2019/10/17 0:32,0.752,0.251,98.997,0,0,0,1804193792,91787264,3340718080,3153223680,4798,2039,0,0
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1804193792,91787264,3340718080,3153223680,2569,1679,0,0
2019/10/17 0:32,0.501,0.251,98.747,0.501,0,0,1804169216,91787264,3340718080,3153248256,4127,2464,0,98304
2019/10/17 0:32,0.251,0.251,99.499,0,0,0,1804169216,91787264,3340718080,3153248256,4200,1977,0,155648
2019/10/17 0:32,0.251,0.251,99.497,0,0,0,1804169216,91787264,3340718080,3153248256,2569,1653,0,0
2019/10/17 0:32,0.752,0.501,98.747,0,0,0,1804128256,91787264,3340734464,3153272832,26610,14656,0,237568
2019/10/17 0:32,1.263,0.505,98.232,0,0,0,1804120064,91787264,3340734464,3153281024,14902,7387,0,16384
2019/10/17 0:32,3.518,0.503,95.98,0,0,0,1804410880,91787264,3340754944,3152969728,21700,665621,0,163840
2019/10/17 0:32,0.251,0.251,98.995,0.503,0,0,1804410880,91787264,3340754944,3152969728,2034,2373,0,73728
2019/10/17 0:32,0.5,0.25,99.25,0,0,0,1804279808,91787264,3340759040,3153096704,7040,5098,0,0
2019/10/17 0:32,0.251,0.501,99.248,0,0,0,1804271616,91787264,3340759040,3153104896,6370,3286,0,40960
2019/10/17 0:32,0.501,0.251,99.248,0,0,0,1804283904,91787264,3340763136,3153088512,3872,2257,0,0
2019/10/17 0:32,0.752,0.251,98.997,0,0,0,1804292096,91787264,3340771328,3153072128,8540,9253,0,0
2019/10/17 0:32,0.5,0.25,98.75,0.5,0,0,1804283904,91787264,3340771328,3153080320,2936,1810,0,73728
2019/10/17 0:32,0.503,0,99.497,0,0,0,1804283904,91787264,3340771328,3153080320,4147,4510,0,0
2019/10/17 0:32,0.501,0.251,99.248,0,0,0,1804283904,91787264,3340771328,3153080320,5113,6611,0,0
2019/10/17 0:32,0.5,0.5,99,0,0,0,1804283904,91787264,3340771328,3153080320,2635,1745,0,0
2019/10/17 0:32,0.251,0.251,99.248,0,0,0.251,1804107776,91787264,3340771328,3153256448,3311,1900,0,0
2019/10/17 0:32,0.252,0.252,99.244,0.252,0,0,1804107776,91787264,3340771328,3153256448,4200,1962,0,286720
2019/10/17 0:32,1.003,0.501,98.496,0,0,0,1804103680,91787264,3340775424,3153256448,3889,3225,0,16384
2019/10/17 0:32,0.251,0.251,99.499,0,0,0,1804103680,91787264,3340775424,3153256448,3904,2011,0,0
2019/10/17 0:32,0.501,0.251,99.248,0,0,0,1804083200,91787264,3340779520,3153272832,5322,2616,0,0
2019/10/17 0:32,0.251,0.251,99.499,0,0,0,1804066816,91787264,3340779520,3153289216,2785,1897,0,0
2019/10/17 0:32,0.503,0.251,99.246,0,0,0,1804066816,91787264,3340779520,3153289216,3113,1702,0,32768
2019/10/17 0:32,0.752,0.251,98.496,0.501,0,0,1804054528,91787264,3340783616,3153297408,5173,2655,0,98304
2019/10/17 0:32,1.256,0,98.744,0,0,0,1804042240,91787264,3340787712,3153305600,2569,1652,0,0
2019/10/17 0:32,0.252,0.504,99.244,0,0,0,1804042240,91787264,3340787712,3153305600,3113,1745,0,0
2019/10/17 0:32,0.75,0.75,98.25,0.25,0,0,1804034048,91787264,3340795904,3153305600,27818,14876,0,229376
2019/10/17 0:32,0.501,0,99.499,0,0,0,1804025856,91787264,3340804096,3153305600,3174,1752,0,8192
