,0.648262443,,,,,,1785900945,,,,6578.728507,33891.56561,,98537.9895
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 22:19,0.254,0.231,99.413,0.098,0,0.003,1730162688,91774976,3328245760,3239739392,0,0,1558.058,35327.679
2019/10/16 22:19,0.252,0,99.748,0,0,0,1730301952,91774976,3328249856,3239596032,4136,2510,0,0
2019/10/16 22:19,0.5,0.5,99,0,0,0,1728245760,91774976,3328249856,3241652224,4240,3575,0,0
2019/10/16 22:19,0.503,0.251,98.744,0.503,0,0,1728237568,91774976,3328258048,3241652224,7681,3958,0,163840
2019/10/16 22:19,0.752,0.251,98.997,0,0,0,1728253952,91774976,3328258048,3241635840,4258,2401,0,0
2019/10/16 22:19,0.251,0.251,99.497,0,0,0,1728253952,91774976,3328258048,3241635840,5612,7316,0,0
2019/10/16 22:19,0.251,0.251,99.499,0,0,0,1728253952,91774976,3328258048,3241635840,2934,1261,0,0
2019/10/16 22:19,0.251,0.251,99.499,0,0,0,1728253952,91774976,3328258048,3241635840,5041,4548,0,0
2019/10/16 22:19,0.251,0.251,98.744,0.754,0,0,1728253952,91774976,3328258048,3241635840,3129,3184,0,442368
2019/10/16 22:19,0.752,0.251,98.997,0,0,0,1728225280,91774976,3328262144,3241660416,3196,1936,0,0
2019/10/16 22:19,0.501,0.251,99.248,0,0,0,1728208896,91774976,3328262144,3241676800,5400,3029,0,16384
2019/10/16 22:19,0.501,0.251,99.248,0,0,0,1728204800,91774976,3328266240,3241676800,3928,1861,0,0
2019/10/16 22:19,0.251,0.251,99.497,0,0,0,1728204800,91774976,3328266240,3241676800,3164,2071,0,0
2019/10/16 22:19,0.251,0.251,99.497,0,0,0,1728200704,91774976,3328270336,3241676800,6661,6995,0,0
2019/10/16 22:19,0.251,0.251,99.246,0.251,0,0,1728200704,91774976,3328270336,3241676800,3147,1847,0,49152
