,0.62379638,,,,,,1775247101,,,,21294.91403,30851.26697,,95199.73226
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 21:12,0.252,0.231,99.415,0.098,0,0.003,1720262656,91766784,3144323072,3433570304,0,0,1565.427,34852.829
2019/10/16 21:12,0.503,0.251,99.246,0,0,0,1720299520,91766784,3144335360,3433521152,6822,12587,0,0
2019/10/16 21:12,0.5,0.5,99,0,0,0,1720299520,91766784,3144335360,3433521152,2205,1479,0,0
2019/10/16 21:12,0.5,0.25,99.25,0,0,0,1718259712,91766784,3144335360,3435560960,5072,3911,0,0
2019/10/16 21:12,0.752,0.251,97.243,1.754,0,0,1718251520,91766784,3144343552,3435560960,8702,4318,0,155648
2019/10/16 21:12,0.504,0,99.496,0,0,0,1718267904,91766784,3144343552,3435544576,2858,2119,0,0
2019/10/16 21:12,0.251,0,99.749,0,0,0,1718267904,91766784,3144343552,3435544576,4164,2837,0,0
2019/10/16 21:12,0.251,0.251,99.499,0,0,0,1718259712,91766784,3144343552,3435552768,4407,1958,0,0
2019/10/16 21:12,0.252,0,99.748,0,0,0,1718259712,91766784,3144343552,3435552768,3953,5774,0,417792
2019/10/16 21:12,0.501,0.251,98.747,0.501,0,0,1718259712,91766784,3144343552,3435552768,3130,1761,0,32768
2019/10/16 21:12,0.251,0.501,99.248,0,0,0,1718259712,91766784,3144343552,3435552768,4217,1977,0,0
2019/10/16 21:12,0.501,0.251,99.248,0,0,0,1718226944,91766784,3144343552,3435585536,4453,2988,0,16384
2019/10/16 21:12,0.503,0.251,99.246,0,0,0,1718222848,91766784,3144347648,3435585536,3322,1911,0,0
2019/10/16 21:12,0.501,0.251,99.248,0,0,0,1718218752,91766784,3144351744,3435585536,5936,2437,0,8192
2019/10/16 21:12,0.251,0,99.749,0,0,0,1718218752,91766784,3144351744,3435585536,4413,6595,0,0
