,0.633443439,,,,,,1792239014,,,,6463.606335,33726.69231,,97945.13778
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 23:40,0.255,0.231,99.412,0.098,0,0.003,1735073792,91779072,3334758400,3228311552,0,0,1549.232,35379.449
2019/10/16 23:40,0.251,0,99.749,0,0,0,1735213056,91779072,3334762496,3228168192,1996,1439,0,0
2019/10/16 23:40,0.251,0.251,98.997,0.501,0,0,1735340032,91779072,3334762496,3228041216,6289,4383,0,385024
2019/10/16 23:40,1,0.5,98.5,0,0,0,1735200768,91779072,3334766592,3228176384,7137,3852,0,40960
2019/10/16 23:40,0.503,0.251,99.246,0,0,0,1735077888,91779072,3334770688,3228295168,4361,2680,0,0
2019/10/16 23:40,0.503,0,99.497,0,0,0,1735077888,91779072,3334770688,3228295168,4915,2908,0,0
2019/10/16 23:40,0.251,0.501,99.248,0,0,0,1735077888,91779072,3334770688,3228295168,2300,1250,0,0
2019/10/16 23:40,0.501,0.251,99.248,0,0,0,1735077888,91779072,3334770688,3228295168,4230,4317,0,0
2019/10/16 23:40,0.251,0.251,99.246,0.251,0,0,1735077888,91779072,3334770688,3228295168,4484,3524,0,32768
2019/10/16 23:40,0.501,0.251,99.248,0,0,0,1735077888,91779072,3334770688,3228295168,2586,1652,0,32768
2019/10/16 23:40,0.251,0.251,99.497,0,0,0,1735045120,91779072,3334770688,3228327936,4959,3123,0,16384
2019/10/16 23:40,0.752,0.251,98.997,0,0,0,1735045120,91779072,3334770688,3228327936,6175,2275,0,0
2019/10/16 23:40,0.251,0.251,99.497,0,0,0,1735041024,91779072,3334774784,3228327936,2620,1954,0,0
2019/10/16 23:40,0.501,0.251,99.248,0,0,0,1734909952,91779072,3334778880,3228454912,3130,2023,0,0
2019/10/16 23:40,0.251,0.251,98.997,0.501,0,0,1734885376,91779072,3334778880,3228479488,4235,1981,0,417792
