,0.630352941,,,,,,1789000505,,,,6491.402715,33770.1991,,97797.75389
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:17,0.258,0.232,99.407,0.099,0,0.003,1732526080,91791360,3346751488,3218853888,0,0,1538.778,35575.609
2019/10/17 1:17,0.251,0.251,99.497,0,0,0,1732014080,91791360,3346755584,3219361792,5201,4685,0,0
2019/10/17 1:17,0.504,0.252,98.489,0.756,0,0,1732014080,91791360,3346755584,3219361792,4560,2887,0,417792
2019/10/17 1:17,0.503,0.251,99.246,0,0,0,1732153344,91791360,3346759680,3219218432,6094,2366,0,8192
2019/10/17 1:17,1,0.25,98.75,0,0,0,1732403200,91791360,3346763776,3218964480,6460,7867,0,0
2019/10/17 1:17,0.251,0.251,99.497,0,0,0,1732149248,91791360,3346763776,3219218432,3320,1743,0,0
2019/10/17 1:17,0.251,0.251,99.497,0,0,0,1732132864,91791360,3346763776,3219234816,3674,1849,0,0
2019/10/17 1:17,0.251,0.251,98.995,0.503,0,0,1732005888,91791360,3346763776,3219361792,4562,5882,0,32768
2019/10/17 1:17,0.501,0.251,99.248,0,0,0,1732005888,91791360,3346763776,3219361792,3130,1762,0,507904
2019/10/17 1:17,0.251,0.501,99.248,0,0,0,1731862528,91791360,3346763776,3219505152,3872,2066,0,0
2019/10/17 1:17,0.504,0.252,99.244,0,0,0,1731973120,91791360,3346763776,3219394560,5006,3021,0,16384
2019/10/17 1:17,0.251,0.251,99.497,0,0,0,1731969024,91791360,3346767872,3219394560,3750,2091,0,0
2019/10/17 1:17,0.503,0.251,99.246,0,0,0,1731969024,91791360,3346767872,3219394560,4282,2224,0,0
2019/10/17 1:17,0.501,0.251,98.997,0.251,0,0,1731825664,91791360,3346767872,3219537920,3147,1764,0,49152
2019/10/17 1:17,0.252,0,99.748,0,0,0,1731825664,91791360,3346767872,3219537920,3262,1828,0,0
