,0.658574661,,,,,,1798129469,,,,6497.144796,33793.62896,,95240.37535
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 2:31,0.501,0,99.499,0,0,0,1798062080,91795456,3353313280,3146752000,4146,2868,0,0
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1798057984,91795456,3353317376,3146752000,3478,1745,0,0
2019/10/17 2:31,0.251,0.251,99.497,0,0,0,1798057984,91795456,3353317376,3146752000,4757,4929,0,0
2019/10/17 2:31,0.5,0.25,98.75,0.5,0,0,1798041600,91795456,3353317376,3146768384,3939,6437,0,57344
2019/10/17 2:31,0.251,0.251,99.497,0,0,0,1798041600,91795456,3353317376,3146768384,3179,1827,0,0
2019/10/17 2:31,0.501,0.251,99.248,0,0,0,1798008832,91795456,3353317376,3146801152,3855,2051,0,0
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1797992448,91795456,3353317376,3146817536,3112,1745,0,0
2019/10/17 2:31,0.752,0,99.248,0,0,0,1797992448,91795456,3353317376,3146817536,4944,2889,0,16384
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1797865472,91795456,3353317376,3146944512,4447,2295,0,0
2019/10/17 2:31,0.251,0.251,98.995,0.503,0,0,1797701632,91795456,3353321472,3147104256,3719,2255,0,57344
2019/10/17 2:31,0.501,0,99.499,0,0,0,1797558272,91795456,3353321472,3147247616,3131,1781,0,0
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1797558272,91795456,3353321472,3147247616,3657,1853,0,0
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1797558272,91795456,3353321472,3147247616,3112,1745,0,0
2019/10/17 2:31,0.252,0,99.748,0,0,0,1797541888,91795456,3353321472,3147264000,4085,2524,0,8192
2019/10/17 2:31,0.251,0.251,99.246,0.251,0,0,1797541888,91795456,3353321472,3147264000,3657,1869,0,212992
2019/10/17 2:31,0.75,0.25,98.75,0,0,0.25,1797668864,91795456,3353321472,3147137024,15567,7022,0,131072
2019/10/17 2:31,0.251,0.501,99.248,0,0,0,1797529600,91795456,3353333760,3147264000,14214,9302,0,98304
2019/10/17 2:31,3.258,0.752,95.739,0.251,0,0,1806630912,91795456,3353337856,3138158592,18154,280976,0,40960
2019/10/17 2:31,4.261,0.501,95.238,0,0,0,1806716928,91795456,3353346048,3138064384,18318,393489,0,139264
2019/10/17 2:31,0.251,0.251,98.747,0.752,0,0,1806733312,91795456,3353362432,3138031616,2034,934,0,163840
2019/10/17 2:31,0.503,0.251,99.246,0,0,0,1806606336,91795456,3353362432,3138158592,5916,4705,0,0
2019/10/17 2:31,0.503,0.251,99.246,0,0,0,1806733312,91795456,3353362432,3138031616,7358,3692,0,40960
2019/10/17 2:31,0.752,0.251,98.997,0,0,0,1806733312,91795456,3353362432,3138031616,4758,3562,0,0
2019/10/17 2:31,0.501,0.251,99.248,0,0,0,1806757888,91795456,3353370624,3137998848,7155,7948,0,0
2019/10/17 2:31,0.252,0,99.244,0.504,0,0,1806757888,91795456,3353370624,3137998848,3302,1745,0,196608
