,0.661701357,,,,,,1784937477,,,,6514.452489,33764.72398,,109807.402
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:49,0.257,0.232,99.409,0.099,0,0.003,1732423680,91787264,3342315520,3223396352,0,0,1541.752,35499.849
2019/10/17 0:49,0.499,0.249,99.252,0,0,0,1732546560,91787264,3342319616,3223269376,2803,2071,0,0
2019/10/17 0:49,0.251,0.251,98.995,0.503,0,0,1728229376,91787264,3342319616,3227586560,5574,4021,0,401408
2019/10/17 0:49,0.501,0.251,99.248,0,0,0,1728229376,91787264,3342319616,3227586560,6719,3302,0,40960
2019/10/17 0:49,0.754,0.251,98.995,0,0,0,1728241664,91787264,3342323712,3227570176,3390,1859,0,0
2019/10/17 0:49,0.752,0.251,98.997,0,0,0,1728241664,91787264,3342323712,3227570176,7005,7959,0,0
2019/10/17 0:49,0.75,0.25,98.75,0,0,0.25,1728229376,91787264,3342327808,3227578368,3319,1742,0,0
2019/10/17 0:49,0.501,0.501,98.997,0,0,0,1728229376,91787264,3342327808,3227578368,4230,4331,0,0
2019/10/17 0:49,0.252,0,99.244,0.504,0,0,1728229376,91787264,3342327808,3227578368,3941,3401,0,32768
2019/10/17 0:49,0.251,0.251,99.499,0,0,0,1728229376,91787264,3342327808,3227578368,3195,1893,0,0
2019/10/17 0:49,0.501,0.251,99.248,0,0,0,1728196608,91787264,3342327808,3227611136,4479,2855,0,16384
2019/10/17 0:49,0.501,0.251,99.248,0,0,0,1728196608,91787264,3342327808,3227611136,4988,2069,0,0
2019/10/17 0:49,0.505,0,99.495,0,0,0,1728196608,91787264,3342327808,3227611136,3430,2062,0,8192
2019/10/17 0:49,0.251,0.251,99.499,0,0,0,1728192512,91787264,3342331904,3227611136,3130,2061,0,0
2019/10/17 0:49,0.501,0.501,98.747,0.251,0,0,1728176128,91787264,3342331904,3227627520,3692,1852,0,40960
