,0.616561086,,,,,,1787708356,,,,6252.954751,30650.50679,,95388.08343
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:55,0.258,0.232,99.408,0.099,0,0.003,1728778240,91787264,3344158720,3225198592,0,0,1541.1,35518.438
2019/10/17 0:55,0.5,0.25,99.25,0,0,0,1728790528,91787264,3344162816,3225182208,3120,1920,0,0
2019/10/17 0:55,0.501,0.251,99.248,0,0,0,1728790528,91787264,3344162816,3225182208,5201,4150,0,0
2019/10/17 0:55,0.501,0.251,99.248,0,0,0,1728790528,91787264,3344162816,3225182208,4560,2227,0,32768
2019/10/17 0:55,0.504,0.252,99.244,0,0,0,1728802816,91787264,3344166912,3225165824,6094,3040,0,8192
2019/10/17 0:55,0.75,0.5,98.5,0.25,0,0,1728798720,91787264,3344171008,3225165824,4595,3336,0,73728
2019/10/17 0:55,0.251,0.251,99.499,0,0,0,1728790528,91787264,3344171008,3225174016,3320,1813,0,0
2019/10/17 0:55,0.501,0.251,99.248,0,0,0,1728790528,91787264,3344171008,3225174016,3674,1849,0,0
2019/10/17 0:55,0.251,0.251,99.497,0,0,0,1728790528,91787264,3344171008,3225174016,4496,5882,0,8192
2019/10/17 0:55,0.251,0.251,99.497,0,0,0,1728790528,91787264,3344171008,3225174016,3130,1762,0,0
2019/10/17 0:55,0.252,0,99.244,0.504,0,0,1728757760,91787264,3344171008,3225206784,3872,2050,0,40960
2019/10/17 0:55,0.25,0.25,99.5,0,0,0,1728757760,91787264,3344171008,3225206784,3981,2034,0,0
2019/10/17 0:55,0.503,0.251,99.246,0,0,0,1728757760,91787264,3344171008,3225206784,4508,2726,0,16384
2019/10/17 0:55,0.5,0.5,99,0,0,0,1728757760,91787264,3344171008,3225206784,4868,2247,0,0
2019/10/17 0:55,0.251,0,99.749,0,0,0,1728610304,91787264,3344175104,3225350144,3129,2024,0,0
