,0.621647059,,,,,,1796526747,,,,6515.669683,33820.37104,,95313.47956
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:04,0.256,0.231,99.411,0.098,0,0.003,1737035776,91779072,3337973760,3223134208,0,0,1546.627,35414.983
2019/10/17 0:04,0.5,0.5,99,0,0,0,1737175040,91779072,3337977856,3222990848,3918,2378,0,0
2019/10/17 0:04,0,0.252,99.748,0,0,0,1737175040,91779072,3337977856,3222990848,4229,4333,0,0
2019/10/17 0:04,0.501,0.251,98.747,0.501,0,0,1737175040,91779072,3337977856,3222990848,3439,3227,0,65536
2019/10/17 0:04,0.252,0,99.748,0,0,0,1737175040,91779072,3337977856,3222990848,3740,2044,0,0
2019/10/17 0:04,0.251,0.501,99.248,0,0,0,1737134080,91779072,3337977856,3223031808,3575,1866,0,0
2019/10/17 0:04,0.505,0,99.495,0,0,0,1737134080,91779072,3337977856,3223031808,4692,2791,0,49152
2019/10/17 0:04,0.501,0.251,99.248,0,0,0,1737134080,91779072,3337977856,3223031808,4411,2216,0,0
2019/10/17 0:04,0.251,0.251,99.497,0,0,0,1737129984,91779072,3337981952,3223031808,4833,6579,0,0
2019/10/17 0:04,0.251,0.251,99.246,0.251,0,0,1737113600,91779072,3337981952,3223048192,3050,1380,0,32768
2019/10/17 0:04,0.251,0.501,99.248,0,0,0,1737113600,91779072,3337981952,3223048192,3806,1935,0,0
2019/10/17 0:04,0.752,0.752,98.496,0,0,0,1738625024,91779072,3337981952,3221536768,4467,2806,0,409600
2019/10/17 0:04,0.251,0.251,99.497,0,0,0,1738735616,91779072,3337981952,3221426176,3130,1803,0,0
2019/10/17 0:04,0.503,0.251,99.246,0,0,0,1737687040,91779072,3337981952,3222474752,3674,1853,0,0
2019/10/17 0:04,1.003,0.251,97.494,1.253,0,0,1737809920,91779072,3337986048,3222347776,26406,14657,0,319488
