,0.651239819,,,,,,1790375482,,,,6453.343891,33722.50679,,95759.18373
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:36,0.752,0,99.248,0,0,0,1794777088,91791360,3348701184,3154653184,3303,1715,0,0
2019/10/17 1:36,0.752,0.501,98.747,0,0,0,1794777088,91791360,3348701184,3154653184,4934,4580,0,0
2019/10/17 1:36,0.251,0,99.749,0,0,0,1794768896,91791360,3348701184,3154661376,3939,6938,0,0
2019/10/17 1:36,1,0.25,98.25,0.5,0,0,1794768896,91791360,3348701184,3154661376,3179,1812,0,49152
2019/10/17 1:36,0.251,0.251,99.497,0,0,0,1794592768,91791360,3348701184,3154837504,3855,2067,0,0
2019/10/17 1:36,0.251,0.251,99.499,0,0,0,1794592768,91791360,3348701184,3154837504,4657,2908,0,16384
2019/10/17 1:36,0.251,0.251,99.497,0,0,0,1794465792,91791360,3348701184,3154964480,3978,1850,0,40960
2019/10/17 1:36,0.503,0,99.497,0,0,0,1794588672,91791360,3348705280,3154837504,4271,2295,0,0
2019/10/17 1:36,0.501,0.752,98.246,0.501,0,0,1794924544,91791360,3348705280,3154501632,5518,6767,0,57344
2019/10/17 1:36,0.5,0.25,99.25,0,0,0,1794981888,91791360,3348709376,3154440192,3197,1913,0,0
2019/10/17 1:36,0.25,0.5,99.25,0,0,0,1794957312,91791360,3348709376,3154464768,3657,1853,0,0
2019/10/17 1:36,0.251,0.251,99.497,0,0,0,1794957312,91791360,3348709376,3154464768,4083,2422,0,24576
2019/10/17 1:36,0.501,0.251,99.248,0,0,0,1794830336,91791360,3348709376,3154591744,3113,1761,0,0
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1794957312,91791360,3348709376,3154464768,3657,1853,0,0
2019/10/17 1:37,0.754,0.251,98.492,0.503,0,0,1794940928,91791360,3348709376,3154481152,26215,14548,0,303104
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1794797568,91791360,3348725760,3154608128,3718,1852,0,8192
2019/10/17 1:37,6.25,1.25,92.25,0,0,0.25,1796546560,91791360,3348725760,3152859136,31210,665876,0,401408
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1796648960,91791360,3348742144,3152740352,5276,8946,0,0
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1796648960,91791360,3348742144,3152740352,3708,2100,0,0
2019/10/17 1:37,0.503,0.251,98.744,0.503,0,0,1796501504,91791360,3348746240,3152883712,4374,3703,0,114688
2019/10/17 1:37,0.754,0.251,98.995,0,0,0,1796493312,91791360,3348754432,3152883712,9103,5711,0,40960
2019/10/17 1:37,0.251,0,99.749,0,0,0,1796648960,91791360,3348758528,3152723968,3754,2305,0,0
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1796517888,91791360,3348762624,3152850944,6695,7425,0,0
2019/10/17 1:37,0.752,0.251,98.997,0,0,0,1796517888,91791360,3348762624,3152850944,3302,1745,0,0
2019/10/17 1:37,0.5,0.25,99.25,0,0,0,1796517888,91791360,3348762624,3152850944,5060,9080,0,0
2019/10/17 1:37,0.252,0,99.496,0.252,0,0,1796517888,91791360,3348762624,3152850944,3657,2374,0,40960
2019/10/17 1:37,0.25,0.5,99.25,0,0,0,1796501504,91791360,3348762624,3152867328,3244,1959,0,16384
2019/10/17 1:37,0.252,0,99.748,0,0,0,1796341760,91791360,3348762624,3153027072,3245,1827,0,0
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1796341760,91791360,3348762624,3153027072,5270,3006,0,16384
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1796214784,91791360,3348762624,3153154048,3953,1903,0,0
2019/10/17 1:37,0.5,0.5,99,0,0,0,1796210688,91791360,3348766720,3153154048,3793,2303,0,0
2019/10/17 1:37,0.251,0.251,98.997,0.501,0,0,1796050944,91791360,3348766720,3153313792,6064,6895,0,139264
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1796050944,91791360,3348766720,3153313792,3262,1827,0,0
2019/10/17 1:37,0.5,0.25,99.25,0,0,0,1796050944,91791360,3348766720,3153313792,3113,1745,0,0
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1795907584,91791360,3348766720,3153457152,4630,2530,0,8192
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1795907584,91791360,3348766720,3153457152,3112,1761,0,0
2019/10/17 1:37,0.501,0,99.248,0.251,0,0,1795907584,91791360,3348766720,3153457152,3113,1745,0,65536
2019/10/17 1:37,0.503,0.251,98.995,0.251,0,0,1795903488,91791360,3348770816,3153457152,27266,14782,0,229376
2019/10/17 1:37,6.549,0.504,92.947,0,0,0,1796165632,91791360,3348779008,3153186816,30772,662273,0,180224
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1796300800,91791360,3348803584,3153027072,5259,11390,0,0
2019/10/17 1:37,0.499,0.499,98.753,0,0,0.249,1796308992,91791360,3348803584,3153018880,4120,1989,0,0
2019/10/17 1:37,0.251,0.251,98.997,0.501,0,0,1796308992,91791360,3348803584,3153018880,3829,3420,0,90112
2019/10/17 1:37,0.503,0.251,99.246,0,0,0,1796182016,91791360,3348803584,3153145856,7285,4194,0,49152
2019/10/17 1:37,0.251,0,99.749,0,0,0,1796325376,91791360,3348803584,3153002496,4210,2260,0,0
2019/10/17 1:37,1.003,0.251,98.747,0,0,0,1796456448,91791360,3348815872,3152859136,7489,9083,0,0
2019/10/17 1:37,0.25,0.5,99.25,0,0,0,1796456448,91791360,3348815872,3152859136,3479,1758,0,0
2019/10/17 1:37,0.251,0,99.749,0,0,0,1796456448,91791360,3348815872,3152859136,5604,7642,0,147456
2019/10/17 1:37,0.501,0.251,98.747,0.501,0,0,1796456448,91791360,3348815872,3152859136,3112,3195,0,90112
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1796456448,91791360,3348815872,3152859136,3179,2356,0,0
2019/10/17 1:37,0.501,0.251,99.248,0,0,0,1796026368,91791360,3348815872,3153289216,3855,2050,0,0
2019/10/17 1:37,0.251,0.501,99.248,0,0,0,1796026368,91791360,3348815872,3153289216,4729,2909,0,16384
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1796026368,91791360,3348815872,3153289216,3913,1850,0,49152
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1796022272,91791360,3348819968,3153289216,4271,2295,0,0
