,0.660746606,,,,,,1789301922,,,,6484.266968,33715.71493,,99725.50596
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:46,0.259,0.232,99.407,0.099,0,0.003,1734348800,91791360,3350515712,3213266944,0,0,1535.644,35624.818
2019/10/17 1:46,0.499,0.249,98.504,0.748,0,0,1734344704,91791360,3350519808,3213266944,4930,2925,0,393216
2019/10/17 1:46,0.251,0.251,99.497,0,0,0,1731805184,91791360,3350519808,3215806464,3446,3176,0,0
2019/10/17 1:46,0.752,0.501,98.747,0,0,0,1731674112,91791360,3350523904,3215933440,7686,4234,0,65536
2019/10/17 1:46,0.501,0.251,99.248,0,0,0,1731817472,91791360,3350523904,3215790080,4258,2401,0,0
2019/10/17 1:46,0.501,0,99.499,0,0,0,1731817472,91791360,3350523904,3215790080,6028,7314,0,0
2019/10/17 1:46,0.251,0.251,99.499,0,0,0,1731809280,91791360,3350523904,3215798272,3320,1742,0,0
2019/10/17 1:46,0.504,0,99.244,0.252,0,0,1731809280,91791360,3350523904,3215798272,5041,4550,0,40960
2019/10/17 1:46,0.5,0.25,99.25,0,0,0,1731809280,91791360,3350523904,3215798272,3129,3201,0,8192
2019/10/17 1:46,0.251,0.251,99.499,0,0,0,1731809280,91791360,3350523904,3215798272,3328,1959,0,0
2019/10/17 1:46,0.252,0.252,99.496,0,0,0,1731776512,91791360,3350523904,3215831040,5932,3107,0,16384
2019/10/17 1:46,0.499,0.249,99.252,0,0,0,1731645440,91791360,3350528000,3215958016,3322,1911,0,0
2019/10/17 1:46,0.251,0.251,99.499,0,0,0,1731641344,91791360,3350532096,3215958016,3690,2021,0,0
2019/10/17 1:46,0.252,0.252,98.741,0.756,0,0,1731637248,91791360,3350536192,3215958016,4296,2293,0,40960
2019/10/17 1:46,0.5,0.25,99.25,0,0,0,1731620864,91791360,3350536192,3215974400,3147,1761,0,0
