,0.624801325,,,,,,1779450154,,,,,25648.98675,,115844.4671
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 22:30,0.254,0.231,99.413,0.098,0,0.003,1733447680,91774976,3330891776,3233808384,0,0,1556.796,35362.532
2019/10/16 22:30,0.5,0.25,99.25,0,0,0,1733332992,91774976,3330895872,3233918976,2049,1439,0,0
2019/10/16 22:30,0.504,0.252,99.244,0,0,0,1729888256,91774976,3330895872,3237363712,5202,4165,0,24576
2019/10/16 22:30,1.005,0.251,98.744,0,0,0,1729773568,91774976,3330899968,3237474304,8227,4268,0,40960
2019/10/16 22:30,0.752,0.251,98.496,0.501,0,0,1729781760,91774976,3330908160,3237457920,3713,2293,0,106496
2019/10/16 22:30,0.251,0.251,98.744,0.754,0,0,1729781760,91774976,3330908160,3237457920,5991,7330,0,163840
2019/10/16 22:30,0.251,0.251,99.497,0,0,0,1729781760,91774976,3330908160,3237457920,3864,1866,0,0
2019/10/16 22:30,0.752,0.251,98.997,0,0,0,1729781760,91774976,3330908160,3237457920,4229,4336,0,73728
2019/10/16 22:30,0.251,0.501,99.248,0,0,0,1729773568,91774976,3330908160,3237466112,3398,3310,0,0
2019/10/16 22:31,0.501,0.251,99.248,0,0,0,1729773568,91774976,3330908160,3237466112,3674,1853,0,0
2019/10/16 22:31,0.501,0,99.248,0,0,0.251,1729740800,91774976,3330908160,3237498880,3327,1943,0,0
2019/10/16 22:31,0.501,0.251,98.747,0.501,0,0,1729732608,91774976,3330908160,3237507072,3130,1745,0,98304
2019/10/16 22:31,0.501,0.251,99.248,0,0,0,1729724416,91774976,3330908160,3237515264,5351,3023,0,16384
2019/10/16 22:31,0.252,0,99.748,0,0,0,1729581056,91774976,3330908160,3237658624,3322,1911,0,0
2019/10/16 22:31,0.5,0.25,99.25,0,0,0,1729560576,91774976,3330912256,3237675008,3690,1833,0,0
