,0.600205298,,,,,,1780447761,,,,,25638.66225,,113891.4121
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 23:25,0.255,0.231,99.412,0.098,0,0.003,1734897664,91774976,3333726208,3229523968,0,0,1550.874,35363.232
2019/10/16 23:25,0.251,0,99.749,0,0,0,1734909952,91774976,3333730304,3229507584,1996,1440,0,16384
2019/10/16 23:25,0.501,0.251,99.248,0,0,0,1734909952,91774976,3333730304,3229507584,5746,4273,0,0
2019/10/16 23:25,0.501,0.501,98.997,0,0,0,1734909952,91774976,3333730304,3229507584,6721,3310,0,49152
2019/10/16 23:25,0.754,0,98.744,0.503,0,0,1734914048,91774976,3333734400,3229499392,3971,2233,0,81920
2019/10/16 23:25,0.501,0.752,98.747,0,0,0,1734914048,91774976,3333734400,3229499392,5140,3489,0,0
2019/10/16 23:25,0.5,0.25,99.25,0,0,0,1734909952,91774976,3333738496,3229499392,3319,1742,0,16384
2019/10/16 23:25,0.251,0.251,99.497,0,0,0,1731854336,91774976,3333738496,3232555008,3130,1759,0,0
2019/10/16 23:25,0.25,0.25,99.5,0,0,0,1731846144,91774976,3333738496,3232563200,5042,5992,0,0
2019/10/16 23:25,0.252,0,99.748,0,0,0,1731846144,91774976,3333738496,3232563200,3129,1745,0,0
2019/10/16 23:25,0.251,0.251,98.997,0.501,0,0,1731813376,91774976,3333738496,3232595968,3328,2046,0,40960
2019/10/16 23:25,0.251,0.251,99.499,0,0,0,1731805184,91774976,3333738496,3232604160,3674,1868,0,16384
2019/10/16 23:25,0.5,0.25,99.25,0,0,0,1731796992,91774976,3333738496,3232612352,4035,2077,0,0
2019/10/16 23:25,0.754,0.251,98.995,0,0,0,1731796992,91774976,3333738496,3232612352,4656,2682,0,16384
2019/10/16 23:25,0.503,0,99.497,0,0,0,1731780608,91774976,3333738496,3232628736,4288,2295,0,0
