,0.630907285,,,,,,1780464281,,,,,25637.59603,,114325.0989
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 22:14,0.254,0.231,99.414,0.098,0,0.003,1732866048,91774976,3327766528,3237515264,0,0,1558.538,35313.934
2019/10/16 22:14,0.748,0.499,98.753,0,0,0,1733005312,91774976,3327770624,3237371904,2619,1864,0,0
2019/10/16 22:14,0.251,0.251,99.497,0,0,0,1728942080,91774976,3327770624,3241435136,5746,4249,0,0
2019/10/16 22:15,0.501,0.501,98.997,0,0,0,1728798720,91774976,3327770624,3241578496,6716,3309,0,40960
2019/10/16 22:15,1,0.5,98.5,0,0,0,1728815104,91774976,3327770624,3241562112,3390,1851,0,0
2019/10/16 22:15,0.752,0.251,98.496,0.501,0,0,1728798720,91774976,3327770624,3241578496,6967,6519,0,131072
2019/10/16 22:15,0.252,0,99.748,0,0,0,1728782336,91774976,3327770624,3241594880,3319,3197,0,0
2019/10/16 22:15,0.75,0.25,99,0,0,0,1728778240,91774976,3327774720,3241594880,3130,1743,0,0
2019/10/16 22:15,0.251,0.251,99.499,0,0,0,1728761856,91774976,3327774720,3241611264,5108,5993,0,0
2019/10/16 22:15,0.251,0,99.749,0,0,0,1728745472,91774976,3327774720,3241627648,3129,1744,0,0
2019/10/16 22:15,0.503,0,98.995,0.503,0,0,1728204800,91774976,3327774720,3242168320,32843419,1944,0,32768
2019/10/16 22:15,0.504,0.252,99.244,0,0,0,1728331776,91774976,3327774720,3242041344,3980497,1869,0,0
2019/10/16 22:15,0.501,0.251,99.248,0,0,0,1728331776,91774976,3327774720,3242041344,3129,1744,0,0
2019/10/16 22:15,0.503,0.503,98.995,0,0,0,1728331776,91774976,3327774720,3242041344,4805,2899,0,16384
2019/10/16 22:15,0.503,0,99.497,0,0,0,1728315392,91774976,3327774720,3242057728,4940,2298,0,0
