,0.611668874,,,,,,1784913703,,,,,25428.88742,,111016.9006
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:44,0.257,0.232,99.409,0.099,0,0.003,1738276864,91787264,3341840384,3218018304,0,0,1542.294,35487.995
2019/10/17 0:44,0.501,0.251,99.248,0,0,0,1738428416,91787264,3341848576,3217858560,3768,2805,0,0
2019/10/17 0:44,0.501,0.501,98.997,0,0,0,1738461184,91787264,3341848576,3217825792,6573,7422,0,0
2019/10/17 0:44,0.5,0.25,99.25,0,0,0,1738555392,91787264,3341848576,3217731584,2465,1280,0,0
2019/10/17 0:44,0.756,0.504,98.741,0,0,0,1738555392,91787264,3341848576,3217731584,4164,4211,0,0
2019/10/17 0:44,0.251,0.251,97.487,2.01,0,0,1738555392,91787264,3341848576,3217731584,4008,3415,0,155648
2019/10/17 0:44,0.251,0.251,96.491,3.008,0,0,1738539008,91787264,3341848576,3217747968,3129,1761,0,0
2019/10/17 0:44,0.251,0,99.749,0,0,0,1738522624,91787264,3341848576,3217764352,3328,1943,0,0
2019/10/17 0:44,0.25,0.5,99.25,0,0,0,1738522624,91787264,3341848576,3217764352,3674,1853,0,0
2019/10/17 0:44,0.5,0.25,99.25,0,0,0,1738522624,91787264,3341848576,3217764352,3129,1745,0,0
2019/10/17 0:44,0.251,0.251,99.497,0,0,0,1738522624,91787264,3341848576,3217764352,3130,1745,0,0
2019/10/17 0:44,0.503,0,98.995,0.251,0,0.251,1738498048,91787264,3341848576,3217788928,3674,1853,0,24576
2019/10/17 0:44,0.251,0.501,99.248,0,0,0,1738493952,91787264,3341852672,3217788928,4536,3065,0,16384
2019/10/17 0:44,0.752,0.251,98.997,0,0,0,1738485760,91787264,3341852672,3217797120,3948,2003,0,0
2019/10/17 0:44,0.251,0.251,99.499,0,0,0,1738485760,91787264,3341852672,3217797120,4850,2194,0,0
