,0.608238411,,,,,,1780178157,,,,,25510.47682,,115140.4141
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:06,0.258,0.232,99.408,0.099,0,0.003,1734242304,91787264,3345473536,3218419712,0,0,1539.901,35546.523
2019/10/17 1:06,0.501,0.251,99.248,0,0,0,1734254592,91787264,3345477632,3218403328,3048,2196,0,0
2019/10/17 1:06,0.251,0.251,99.497,0,0,0,1729937408,91787264,3345477632,3222720512,4748,3516,0,0
2019/10/17 1:06,0.504,0.252,98.992,0.252,0,0,1729933312,91787264,3345481728,3222720512,6927,3607,0,434176
2019/10/17 1:06,1,0.25,97.5,1.25,0,0,1730215936,91787264,3345485824,3222433792,2640,1429,0,73728
2019/10/17 1:06,0.75,0.5,98.75,0,0,0,1730199552,91787264,3345485824,3222450176,7511,8082,0,0
2019/10/17 1:06,0.253,0,99.747,0,0,0,1730199552,91787264,3345485824,3222450176,3319,1741,0,0
2019/10/17 1:06,0.75,0.5,98.75,0,0,0,1730064384,91787264,3345485824,3222585344,3686,4226,0,24576
2019/10/17 1:06,0.503,0,99.497,0,0,0,1730064384,91787264,3345485824,3222585344,4486,3526,0,0
2019/10/17 1:06,0.501,0.501,98.997,0,0,0,1730691072,91787264,3345485824,3221958656,3195,1876,0,0
2019/10/17 1:06,0.752,0.251,98.747,0.251,0,0,1730703360,91787264,3345489920,3221942272,2718,1703,0,49152
2019/10/17 1:06,0.251,0.251,98.492,1.005,0,0,1730703360,91787264,3345489920,3221942272,4218,1978,0,147456
2019/10/17 1:06,0.501,0.251,98.747,0.501,0,0,1730703360,91787264,3345489920,3221942272,5261,3013,0,32768
2019/10/17 1:06,0.504,0.252,99.244,0,0,0,1730576384,91787264,3345489920,3222069248,2701,1653,0,0
2019/10/17 1:06,0.501,0.251,99.248,0,0,0,1730428928,91787264,3345494016,3222212608,5346,2391,0,0
