,0.598536424,,,,,,1784496101,,,,,25446.74834,,115900.229
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:23,0.259,0.232,99.407,0.099,0,0.003,1735348224,91791360,3347542016,3215241216,0,0,1538.132,35590.585
2019/10/17 1:23,0.503,0.251,99.246,0,0,0,1735593984,91791360,3347550208,3214987264,2594,1548,0,0
2019/10/17 1:23,0.503,0,98.995,0.503,0,0,1735340032,91791360,3347550208,3215241216,5135,4253,0,376832
2019/10/17 1:23,0.251,0.501,99.248,0,0,0,1735213056,91791360,3347550208,3215368192,4843,2517,0,24576
2019/10/17 1:23,0.754,0,99.246,0,0,0,1735335936,91791360,3347554304,3215241216,6461,3141,0,16384
2019/10/17 1:23,1.003,0.251,98.747,0,0,0,1735327744,91791360,3347554304,3215249408,5868,6136,0,0
2019/10/17 1:23,0.251,0.251,99.497,0,0,0,1735450624,91791360,3347558400,3215122432,3874,3474,0,65536
2019/10/17 1:23,0.251,0.251,99.246,0.251,0,0,1735450624,91791360,3347558400,3215122432,3674,1865,0,40960
2019/10/17 1:23,0.503,0.251,99.246,0,0,0,1735450624,91791360,3347558400,3215122432,4497,5901,0,0
2019/10/17 1:23,0.252,0,99.748,0,0,0,1735450624,91791360,3347558400,3215122432,3130,1746,0,0
2019/10/17 1:23,0.501,0.251,99.248,0,0,0,1735434240,91791360,3347558400,3215138816,3872,2050,0,0
2019/10/17 1:23,0.251,0.501,99.248,0,0,0,1735290880,91791360,3347558400,3215282176,3129,1745,0,360448
2019/10/17 1:23,0.251,0.251,98.997,0.501,0,0,1735290880,91791360,3347558400,3215282176,3130,1762,0,65536
2019/10/17 1:23,0.503,0.251,99.246,0,0,0,1735290880,91791360,3347558400,3215282176,6512,3221,0,16384
2019/10/17 1:23,0.503,0.251,99.246,0,0,0,1735286784,91791360,3347562496,3215282176,3919,2011,0,0
