,0.598397351,,,,,,1790250574,,,,,25619.36424,,117634.9539
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 23:49,0.256,0.231,99.411,0.098,0,0.003,1740140544,91779072,3335581696,3222421504,0,0,1548.255,35390.043
2019/10/16 23:49,0.251,0.251,99.246,0.251,0,0,1740099584,91779072,3335589888,3222454272,3163,1963,0,417792
2019/10/16 23:49,0.251,0.251,99.497,0,0,0,1740099584,91779072,3335589888,3222454272,5201,4168,0,0
2019/10/16 23:49,0.75,0.25,99,0,0,0,1740099584,91779072,3335589888,3222454272,6722,3309,0,40960
2019/10/16 23:49,0.752,0.251,98.997,0,0,0,1740115968,91779072,3335589888,3222437888,3934,1958,0,0
2019/10/16 23:49,0.752,0.251,98.997,0,0,0,1740124160,91779072,3335589888,3222429696,6422,6412,0,0
2019/10/16 23:49,0.251,0.251,99.497,0,0,0,1740124160,91779072,3335589888,3222429696,3320,3181,0,0
2019/10/16 23:49,0.5,0.25,98.5,0.75,0,0,1740103680,91779072,3335593984,3222446080,4708,4428,0,32768
2019/10/16 23:49,0.251,0.251,99.497,0,0,0,1740103680,91779072,3335593984,3222446080,3505,3365,0,0
2019/10/16 23:49,0.251,0.251,99.497,0,0,0,1740095488,91779072,3335593984,3222454272,3130,1745,0,24576
2019/10/16 23:49,0.501,0.251,99.248,0,0,0,1740079104,91779072,3335593984,3222470656,3872,2067,0,0
2019/10/16 23:49,0.252,0.252,99.496,0,0,0,1740054528,91779072,3335593984,3222495232,3129,1745,0,0
2019/10/16 23:49,0.501,0.251,99.248,0,0,0,1740054528,91779072,3335593984,3222495232,4349,2789,0,16384
2019/10/16 23:49,0.503,0.251,98.995,0.251,0,0,1740042240,91779072,3335598080,3222503424,4387,2040,0,32768
2019/10/16 23:49,0.501,0.251,99.248,0,0,0,1740042240,91779072,3335598080,3222503424,5551,5494,0,0
