,0.676119403,,,,,,1781383209,,,,5810.940299,27248.00995,,97134.49044
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1759936512,91770880,3325542400,3212673024,4272,1959,0,8192
2019/10/16 21:51,5.013,1.253,93.734,0,0,0,1785507840,91770880,3325558784,3187085312,28095,672988,0,172032
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1785520128,91770880,3325562880,3187068928,2614,3285,0,0
2019/10/16 21:51,0.5,0.25,98.5,0.75,0,0,1785520128,91770880,3325562880,3187068928,4914,2569,0,262144
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1785393152,91770880,3325562880,3187195904,4611,3828,0,16384
2019/10/16 21:51,0.501,0.251,98.997,0,0,0.251,1785389056,91770880,3325566976,3187195904,6773,3662,0,24576
2019/10/16 21:51,0.501,0.501,98.997,0,0,0,1785544704,91770880,3325571072,3187036160,4988,3774,0,0
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1785544704,91770880,3325571072,3187036160,6188,7321,0,0
2019/10/16 21:51,0.501,0.501,98.997,0,0,0,1785540608,91770880,3325575168,3187036160,3303,1746,0,32768
2019/10/16 21:51,0.251,0.251,98.995,0.503,0,0,1785540608,91770880,3325575168,3187036160,5587,9095,0,49152
2019/10/16 21:51,0.252,0,99.748,0,0,0,1785540608,91770880,3325575168,3187036160,3112,1761,0,0
2019/10/16 21:51,0.503,0.251,99.246,0,0,0,1785524224,91770880,3325575168,3187052544,3377,2052,0,0
2019/10/16 21:51,0.499,0.499,99.002,0,0,0,1785491456,91770880,3325575168,3187085312,3657,1810,0,0
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1785491456,91770880,3325575168,3187085312,3112,1745,0,0
2019/10/16 21:51,0.503,0,99.497,0,0,0,1785364480,91770880,3325575168,3187212288,3113,1746,0,0
2019/10/16 21:51,0.752,0.251,98.496,0.501,0,0,1785348096,91770880,3325575168,3187228672,5851,3105,0,65536
2019/10/16 21:51,0.251,0,99.749,0,0,0,1785184256,91770880,3325579264,3187388416,4031,2143,0,0
2019/10/16 21:51,0.748,0.499,98.753,0,0,0,1785180160,91770880,3325583360,3187388416,3859,2246,0,0
2019/10/16 21:51,0.252,0.252,99.496,0,0,0,1785171968,91770880,3325583360,3187396608,5484,6786,0,172032
2019/10/16 21:51,0.503,0.251,99.246,0,0,0,1785294848,91770880,3325587456,3187269632,3130,1761,0,0
2019/10/16 21:51,0.503,0.251,99.246,0,0,0,1785167872,91770880,3325587456,3187396608,3113,1746,0,0
2019/10/16 21:51,0.501,0.251,98.747,0.501,0,0,1785167872,91770880,3325587456,3187396608,3657,1852,0,90112
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1785167872,91770880,3325587456,3187396608,4086,2438,0,16384
2019/10/16 21:51,0.251,0.251,99.497,0,0,0,1785167872,91770880,3325587456,3187396608,3113,1762,0,0
2019/10/16 21:51,0.251,0.251,99.499,0,0,0,1785167872,91770880,3325587456,3187396608,3699,1894,0,0
2019/10/16 21:51,0.251,0,99.749,0,0,0,1785167872,91770880,3325587456,3187396608,3244,2355,0,0
2019/10/16 21:51,1.005,0.251,98.744,0,0,0,1785167872,91770880,3325587456,3187396608,27068,15181,0,229376
2019/10/16 21:51,0.5,0.25,98.75,0.5,0,0,1785032704,91770880,3325595648,3187523584,4316,2110,0,57344
2019/10/16 21:51,6.03,1.256,92.462,0,0,0.251,1794080768,91770880,3325603840,3178467328,26633,666577,0,180224
2019/10/16 21:51,0.754,0.251,98.995,0,0,0,1794232320,91770880,3325620224,3178299392,5789,12067,0,0
2019/10/16 21:51,0.251,0.251,99.499,0,0,0,1794232320,91770880,3325620224,3178299392,2578,1352,0,0
2019/10/16 21:51,0.503,0.251,99.246,0,0,0,1794232320,91770880,3325620224,3178299392,5952,4802,0,0
