,0.608357616,,,,,,1780695881,,,,,30012.91391,,115898.1231
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 21:58,0.253,0.231,99.414,0.098,0,0.003,1730727936,91770880,3325972480,3241451520,0,0,1560.328,35272.585
2019/10/16 21:58,0.75,0.5,98.75,0,0,0,1730867200,91770880,3325976576,3241308160,6978,4314,0,49152
2019/10/16 21:58,0.501,0.251,99.248,0,0,0,1731010560,91770880,3325976576,3241164800,4337,1570,0,360448
2019/10/16 21:58,0.752,0.251,98.997,0,0,0,1731133440,91770880,3325980672,3241037824,5879,6319,0,0
2019/10/16 21:58,0.251,0.251,99.499,0,0,0,1731133440,91770880,3325980672,3241037824,3320,3181,0,0
2019/10/16 21:58,0.252,0,99.748,0,0,0,1731006464,91770880,3325980672,3241164800,5083,2583,0,0
2019/10/16 21:58,0.251,0.251,98.997,0.501,0,0,1731006464,91770880,3325980672,3241164800,3088,5043,0,73728
2019/10/16 21:58,0.251,0.251,99.499,0,0,0,1731006464,91770880,3325980672,3241164800,3130,1972,0,16384
2019/10/16 21:58,0.503,0.251,99.246,0,0,0,1730838528,91770880,3325980672,3241332736,4415,2176,0,0
2019/10/16 21:58,0.251,0.251,99.499,0,0,0,1730838528,91770880,3325980672,3241332736,2586,1636,0,0
2019/10/16 21:58,0.251,0.251,99.499,0,0,0,1730838528,91770880,3325980672,3241332736,4671,2910,0,16384
2019/10/16 21:58,0.501,0.251,98.997,0.251,0,0,1730953216,91770880,3325984768,3241213952,5449,2166,0,65536
2019/10/16 21:58,0.251,0.251,99.497,0,0,0,1730936832,91770880,3325984768,3241230336,2620,1831,0,32768
2019/10/16 21:58,0.752,0,99.248,0,0,0,1730945024,91770880,3325992960,3241213952,5669,6849,0,0
2019/10/16 21:58,0,0.251,99.749,0,0,0,1730818048,91770880,3325992960,3241340928,4235,1981,0,0
