,0.595046358,,,,,,1782872023,,,,,25544.74834,,114109.5564
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:01,0.754,0.503,98.744,0,0,0,1799147520,91787264,3345080320,3153907712,5148,4533,0,0
2019/10/17 1:01,0.752,0.251,98.997,0,0,0,1799274496,91787264,3345080320,3153780736,5373,6429,0,0
2019/10/17 1:01,0.5,0.25,99.25,0,0,0,1799270400,91787264,3345084416,3153780736,4200,1961,0,0
2019/10/17 1:01,0.752,0.251,98.496,0.501,0,0,1799270400,91787264,3345084416,3153780736,4501,8864,0,65536
2019/10/17 1:01,0.251,0,99.749,0,0,0,1799270400,91787264,3345084416,3153780736,3113,1761,0,0
2019/10/17 1:01,0.501,0.251,99.248,0,0,0,1799221248,91787264,3345084416,3153829888,4464,2225,0,0
2019/10/17 1:01,0.251,0.251,99.497,0,0,0,1799204864,91787264,3345084416,3153846272,2569,1637,0,0
2019/10/17 1:01,0.5,0.25,99.25,0,0,0,1799077888,91787264,3345084416,3153973248,3113,1745,0,245760
2019/10/17 1:01,0,0,98.99,1.01,0,0,1799077888,91787264,3345084416,3153973248,4200,1977,0,65536
2019/10/17 1:01,0.501,0.501,98.997,0,0,0,1799471104,91787264,3345088512,3153575936,2569,1653,0,0
2019/10/17 1:01,0.251,0.251,99.497,0,0,0,1799454720,91787264,3345088512,3153592320,3365,2136,0,0
2019/10/17 1:01,0.5,0.25,99.25,0,0,0,1799454720,91787264,3345088512,3153592320,6432,3654,0,16384
2019/10/17 1:01,0,0.251,99.749,0,0,0,1799454720,91787264,3345088512,3153592320,2807,1653,0,24576
2019/10/17 1:01,0.501,0.251,99.248,0,0,0,1799446528,91787264,3345096704,3153592320,3709,2187,0,0
2019/10/17 1:02,1.259,0.252,97.985,0.504,0,0,1799503872,91787264,3345104896,3153526784,12324,10453,0,196608
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799503872,91787264,3345104896,3153526784,2569,1653,0,0
