2019-09-03 11:36:37 INFO  DAGScheduler:54 - ShuffleMapStage 46 (treeAggregate at RDDLossFunction.scala:61) finished in 16.835 s
2019-09-03 11:36:37 INFO  DAGScheduler:54 - ResultStage 47 (treeAggregate at RDDLossFunction.scala:61) finished in 0.095 s
2019-09-03 11:36:54 INFO  DAGScheduler:54 - ShuffleMapStage 48 (treeAggregate at RDDLossFunction.scala:61) finished in 17.043 s
2019-09-03 11:36:54 INFO  DAGScheduler:54 - ResultStage 49 (treeAggregate at RDDLossFunction.scala:61) finished in 0.061 s
2019-09-03 11:37:11 INFO  DAGScheduler:54 - ShuffleMapStage 50 (treeAggregate at RDDLossFunction.scala:61) finished in 17.110 s
2019-09-03 11:37:11 INFO  DAGScheduler:54 - ResultStage 51 (treeAggregate at RDDLossFunction.scala:61) finished in 0.099 s
2019-09-03 11:41:56 INFO  DAGScheduler:54 - ShuffleMapStage 52 (countByValue at MulticlassMetrics.scala:42) finished in 284.169 s
2019-09-03 11:41:56 INFO  DAGScheduler:54 - ResultStage 53 (countByValue at MulticlassMetrics.scala:42) finished in 0.179 s
2019-09-03 11:42:08 INFO  DAGScheduler:54 - ShuffleMapStage 54 (map at MulticlassMetrics.scala:45) finished in 11.881 s
2019-09-03 11:42:08 INFO  DAGScheduler:54 - ResultStage 55 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.165 s
2019-09-03 11:47:35 INFO  DAGScheduler:54 - ShuffleMapStage 56 (treeAggregate at LogisticRegression.scala:520) finished in 326.915 s
2019-09-03 11:47:36 INFO  DAGScheduler:54 - ResultStage 57 (treeAggregate at LogisticRegression.scala:520) finished in 0.140 s
2019-09-03 11:47:59 INFO  DAGScheduler:54 - ShuffleMapStage 58 (treeAggregate at RDDLossFunction.scala:61) finished in 23.136 s
2019-09-03 11:47:59 INFO  DAGScheduler:54 - ResultStage 59 (treeAggregate at RDDLossFunction.scala:61) finished in 0.065 s
2019-09-03 11:48:17 INFO  DAGScheduler:54 - ShuffleMapStage 60 (treeAggregate at RDDLossFunction.scala:61) finished in 17.978 s
2019-09-03 11:48:17 INFO  DAGScheduler:54 - ResultStage 61 (treeAggregate at RDDLossFunction.scala:61) finished in 0.065 s
2019-09-03 11:48:35 INFO  DAGScheduler:54 - ShuffleMapStage 62 (treeAggregate at RDDLossFunction.scala:61) finished in 18.213 s
2019-09-03 11:48:35 INFO  DAGScheduler:54 - ResultStage 63 (treeAggregate at RDDLossFunction.scala:61) finished in 0.078 s
2019-09-03 11:48:52 INFO  DAGScheduler:54 - ShuffleMapStage 64 (treeAggregate at RDDLossFunction.scala:61) finished in 16.382 s
2019-09-03 11:48:52 INFO  DAGScheduler:54 - ResultStage 65 (treeAggregate at RDDLossFunction.scala:61) finished in 0.062 s
2019-09-03 11:49:09 INFO  DAGScheduler:54 - ShuffleMapStage 66 (treeAggregate at RDDLossFunction.scala:61) finished in 17.003 s
2019-09-03 11:49:09 INFO  DAGScheduler:54 - ResultStage 67 (treeAggregate at RDDLossFunction.scala:61) finished in 0.070 s
2019-09-03 11:49:26 INFO  DAGScheduler:54 - ShuffleMapStage 68 (treeAggregate at RDDLossFunction.scala:61) finished in 16.985 s
2019-09-03 11:49:26 INFO  DAGScheduler:54 - ResultStage 69 (treeAggregate at RDDLossFunction.scala:61) finished in 0.061 s
2019-09-03 11:49:43 INFO  DAGScheduler:54 - ShuffleMapStage 70 (treeAggregate at RDDLossFunction.scala:61) finished in 17.060 s
2019-09-03 11:49:43 INFO  DAGScheduler:54 - ResultStage 71 (treeAggregate at RDDLossFunction.scala:61) finished in 0.065 s
2019-09-03 11:50:00 INFO  DAGScheduler:54 - ShuffleMapStage 72 (treeAggregate at RDDLossFunction.scala:61) finished in 17.170 s
2019-09-03 11:50:00 INFO  DAGScheduler:54 - ResultStage 73 (treeAggregate at RDDLossFunction.scala:61) finished in 0.066 s
2019-09-03 11:50:17 INFO  DAGScheduler:54 - ShuffleMapStage 74 (treeAggregate at RDDLossFunction.scala:61) finished in 16.143 s
2019-09-03 11:50:17 INFO  DAGScheduler:54 - ResultStage 75 (treeAggregate at RDDLossFunction.scala:61) finished in 0.071 s
2019-09-03 11:54:59 INFO  DAGScheduler:54 - ShuffleMapStage 76 (countByValue at MulticlassMetrics.scala:42) finished in 281.797 s
2019-09-03 11:54:59 INFO  DAGScheduler:54 - ResultStage 77 (countByValue at MulticlassMetrics.scala:42) finished in 0.164 s
2019-09-03 11:55:10 INFO  DAGScheduler:54 - ShuffleMapStage 78 (map at MulticlassMetrics.scala:45) finished in 11.552 s
2019-09-03 11:55:11 INFO  DAGScheduler:54 - ResultStage 79 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.146 s
2019-09-03 12:00:43 INFO  DAGScheduler:54 - ShuffleMapStage 80 (treeAggregate at LogisticRegression.scala:520) finished in 331.448 s
2019-09-03 12:00:43 INFO  DAGScheduler:54 - ResultStage 81 (treeAggregate at LogisticRegression.scala:520) finished in 0.094 s
2019-09-03 12:01:09 INFO  DAGScheduler:54 - ShuffleMapStage 82 (treeAggregate at RDDLossFunction.scala:61) finished in 26.376 s
2019-09-03 12:01:09 INFO  DAGScheduler:54 - ResultStage 83 (treeAggregate at RDDLossFunction.scala:61) finished in 0.068 s
2019-09-03 12:01:40 INFO  DAGScheduler:54 - ShuffleMapStage 84 (treeAggregate at RDDLossFunction.scala:61) finished in 30.382 s
2019-09-03 12:01:40 INFO  DAGScheduler:54 - ResultStage 85 (treeAggregate at RDDLossFunction.scala:61) finished in 0.067 s
2019-09-03 12:02:08 INFO  DAGScheduler:54 - ShuffleMapStage 86 (treeAggregate at RDDLossFunction.scala:61) finished in 28.840 s
2019-09-03 12:02:09 INFO  DAGScheduler:54 - ResultStage 87 (treeAggregate at RDDLossFunction.scala:61) finished in 0.081 s
2019-09-03 12:02:34 INFO  DAGScheduler:54 - ShuffleMapStage 88 (treeAggregate at RDDLossFunction.scala:61) finished in 25.856 s
2019-09-03 12:02:35 INFO  DAGScheduler:54 - ResultStage 89 (treeAggregate at RDDLossFunction.scala:61) finished in 0.063 s
2019-09-03 12:03:01 INFO  DAGScheduler:54 - ShuffleMapStage 90 (treeAggregate at RDDLossFunction.scala:61) finished in 26.162 s
2019-09-03 12:03:01 INFO  DAGScheduler:54 - ResultStage 91 (treeAggregate at RDDLossFunction.scala:61) finished in 0.060 s
2019-09-03 12:03:27 INFO  DAGScheduler:54 - ShuffleMapStage 92 (treeAggregate at RDDLossFunction.scala:61) finished in 26.715 s
2019-09-03 12:03:28 INFO  DAGScheduler:54 - ResultStage 93 (treeAggregate at RDDLossFunction.scala:61) finished in 0.067 s
2019-09-03 12:03:54 INFO  DAGScheduler:54 - ShuffleMapStage 94 (treeAggregate at RDDLossFunction.scala:61) finished in 26.251 s
2019-09-03 12:03:54 INFO  DAGScheduler:54 - ResultStage 95 (treeAggregate at RDDLossFunction.scala:61) finished in 0.053 s
