cpu process,memory process,recv,send,read,writ,time,input,output,binput,boutput
0,261976064,163,757,0,12288,03-09 11:14:56,43,245,0,4096
0,261976064,163,757,0,0,03-09 11:14:57,3770,245,0,4096
0,261976064,272,1324,0,0,03-09 11:14:58,43,427,0,4096
0,261976064,163,765,0,0,03-09 11:14:59,43,245,0,4096
0,261976064,163,765,0,106496,03-09 11:15:00,3770,245,0,8192
0,261976064,272,1340,0,28672,03-09 11:15:01,43,427,0,4096
6,261976064,27769756,69125,151552,0,03-09 11:15:02,27689173,27681671,151552,27688960
0,261976064,268264,4040,0,0,03-09 11:15:03,266641,267568,0,270336
0,261976064,272,1340,0,0,03-09 11:15:04,43,427,0,270336
1,261976064,28360,27738184,0,0,03-09 11:15:05,27675864,27688795,0,270336
0,261976064,816,268103,0,40960,03-09 11:15:06,266412,266480,0,270336
0,261976064,272,1226,0,0,03-09 11:15:07,43,427,0,270336
0,261976064,163,675,0,0,03-09 11:15:08,43,245,0,270336
0,261976064,163,765,0,0,03-09 11:15:09,3770,245,0,270336
0,261976064,404,1358,0,0,03-09 11:15:10,43,427,0,270336
0,261976064,163,675,0,16384,03-09 11:15:11,43,245,0,270336
0,261976064,163,667,0,0,03-09 11:15:12,3770,245,0,270336
2,261976064,5630,2367,1482752,0,03-09 11:15:13,111550,4584,1376256,32768
49,261976064,135670125,27785438,131072,0,03-09 11:15:14,173261436,173173771,237568,173182976
31,262209536,92924,28282530,3223552,74104832,03-09 11:15:15,152137897,151992380,53248,152408064
10,262156288,981,269636,7426048,0,03-09 11:15:16,1859191,8,7290880,32768
32,262156288,295,903,18247680,389120,03-09 11:15:17,26687554,0,18268160,0
17,262156288,229,2123,14462976,0,03-09 11:15:18,1654595,353,14491648,4096
52,262156288,404,1496,4673536,0,03-09 11:15:19,3526937,590,4673536,0
42,262156288,2553,2195,1622016,21446656,03-09 11:15:20,2179889,1171,1626112,0
52,262156288,2580,6476,1695744,110411776,03-09 11:15:21,2563086,5603,1687552,0
7,262156288,272,1448,0,241664,03-09 11:15:22,1622,2,1687552,0
38,262156288,53092,4452,2744320,61440,03-09 11:15:23,2716350,62609,2662400,65536
56,325853184,10682,5876,4509696,0,03-09 11:15:24,2111505,5932,4591616,0
46,351174656,264149,134624,0,0,03-09 11:15:25,567235,121991,0,4096
38,374661120,262370,162368,0,0,03-09 11:15:26,295028,159184,0,8192
1,374661120,163,889,0,77824,03-09 11:15:27,23908,345,0,8192
0,374661120,952,2136,0,0,03-09 11:15:28,645910,346,0,8192
0,374661120,163,856,0,0,03-09 11:15:29,43,345,0,8192
23,386801664,193265,85480,0,0,03-09 11:15:30,176545,77462,0,4096
15,390930432,11534,13238,0,0,03-09 11:15:31,20289,15481,0,4096
0,390930432,2169,3577,0,45056,03-09 11:15:32,946,554,0,4096
1,390930432,1369,1933,0,0,03-09 11:15:33,23908,345,0,4096
0,390930432,1880,2456,0,0,03-09 11:15:34,828,420,0,4096
60,402956288,40665,5290,1736704,0,03-09 11:15:35,2538015,3490,1736704,0
74,480235520,163,889,90112,0,03-09 11:15:36,2510467,77,90112,0
89,496828416,44057,3594,8601600,0,03-09 11:15:37,7266471,7269674,7720960,0
93,584282112,463,4768,2883584,61440,03-09 11:15:38,3039232,3039634,3145728,0
87,697794560,217,1519,6684672,0,03-09 11:15:39,6541312,6541821,6684672,0
52,817209344,272,1448,8912896,0,03-09 11:15:40,9179179,9185408,8912896,0
51,974540800,163,889,8519680,0,03-09 11:15:41,8187904,8193796,8257536,0
50,1021030400,163,889,10223616,0,03-09 11:15:42,10436608,10440482,10485760,0
50,1032114176,272,1448,11141120,12288,03-09 11:15:43,11030571,11035620,11141120,0
52,1041260544,163,889,10878976,0,03-09 11:15:44,10698752,10704798,10616832,0
50,1049886720,163,889,11010048,0,03-09 11:15:45,11296768,11299509,11272192,0
50,1059348480,314,1490,11931648,19329024,03-09 11:15:46,11821099,11828568,11927552,8192
54,1068298240,361,1087,11403264,0,03-09 11:15:47,11493376,11497746,11403264,0
51,1082724352,463,5970,10747904,0,03-09 11:15:48,10764288,10770877,10747904,0
50,1090564096,272,1448,12079104,94208,03-09 11:15:49,11956267,11960726,11816960,4096
49,1098674176,163,889,9437184,0,03-09 11:15:50,9773056,9779692,9699328,0
54,1107316736,429,1315,2146304,544768,03-09 11:15:51,8974342,785,2113536,8192
89,1204473856,272,1448,0,0,03-09 11:15:52,402816,0,2113536,8192
86,1224572928,11625,8777,10997760,0,03-09 11:15:53,10305660,10308881,10735616,0
94,1282252800,163,889,6160384,90112,03-09 11:15:54,6012928,6013189,6160384,0
66,1285566464,272,1448,9699328,0,03-09 11:15:55,9969707,9978356,9961472,0
51,1283055616,163,889,10878976,0,03-09 11:15:56,10833920,10836956,10878976,0
52,1275879424,163,889,11403264,0,03-09 11:15:57,11292672,11299509,11272192,0
50,1275879424,572,5261,11796480,0,03-09 11:15:58,11890731,11894647,11927552,0
50,1275879424,163,889,10878976,12288,03-09 11:15:59,11030528,11035193,10878976,0
51,1277448192,163,889,11665408,0,03-09 11:16:00,11423744,11431667,11665408,0
52,1296101376,272,1514,9961472,0,03-09 11:16:01,9908267,9912277,9699328,0
51,1311526912,349,1585,9830400,0,03-09 11:16:02,9842688,9845771,9830400,0
50,1331331072,229,2289,11010048,0,03-09 11:16:03,11096064,11101272,11010048,0
51,1354854400,272,1448,11816960,0,03-09 11:16:04,11821099,11828568,11816960,0
67,1369321472,163,889,4718592,16384,03-09 11:16:05,4952064,4955925,4980736,0
50,1374822400,134052,2467,4456448,0,03-09 11:16:06,11976460,127,4456448,0
85,1450004480,11732,9254,8769536,0,03-09 11:16:07,8126631,8128701,8769536,0
68,1469906944,463,4612,6946816,0,03-09 11:16:08,6737920,6740058,6684672,0
52,1530912768,163,889,10747904,0,03-09 11:16:09,11161600,11167351,11010048,0
51,1533161472,272,1448,12713984,53248,03-09 11:16:10,12484651,12489358,12713984,0
50,1530007552,205,955,11403264,0,03-09 11:16:11,11423744,11431667,11403264,0
50,1530105856,163,865,11010048,0,03-09 11:16:12,10964992,10969114,10747904,0
52,1530105856,272,1448,10616832,0,03-09 11:16:13,10567723,10573067,10616832,0
52,1530105856,163,889,11403264,0,03-09 11:16:14,11624448,11629904,11665408,0
54,1538215936,163,889,10485760,0,03-09 11:16:15,10436608,10440482,10485760,0
58,1543622656,272,1448,10878976,53248,03-09 11:16:16,10764331,10771304,10878976,8192
52,1554165760,361,1087,11014144,0,03-09 11:16:17,11227136,11233430,11010048,0
51,1567686656,463,5970,11554816,0,03-09 11:16:18,11558912,11563825,11554816,0
58,1588211712,272,1448,7733248,0,03-09 11:16:19,8187954,8193711,7733248,4096
62,1595355136,133746,2173,0,0,03-09 11:16:20,6277986,485,7733248,4096
62,1681412096,11623,8785,11915264,53248,03-09 11:16:21,11362428,11366145,11915264,0
81,1720119296,272,1448,2621440,0,03-09 11:16:22,2510891,2511429,2359296,0
60,1719808000,163,889,8519680,0,03-09 11:16:23,8650752,8656349,8781824,0
54,1722527744,163,955,10616832,0,03-09 11:16:24,10436608,10440482,10616832,0
58,1792020480,326,2078,9703424,0,03-09 11:16:25,9642027,9647961,9437184,0
81,1797050368,163,889,8519680,118784,03-09 11:16:26,8654848,8656349,8781824,0
50,1797038080,163,889,11534336,0,03-09 11:16:27,11423744,11431667,11272192,0
61,1795047424,614,5303,10878976,0,03-09 11:16:28,11096107,11101699,11141120,0
51,1795059712,163,889,12713984,0,03-09 11:16:29,12353536,12356773,12451840,0
52,1805611008,163,889,11534336,0,03-09 11:16:30,11689984,11695983,11534336,0
52,1813725184,338,1580,11141120,114688,03-09 11:16:31,11161643,11167778,11141120,8192
52,1824735232,295,955,10244096,32768,03-09 11:16:32,10235904,10242245,10244096,0
51,1830404096,163,2157,11796480,0,03-09 11:16:33,12218368,12224615,12058624,0
80,1847046144,1197,135029,3817472,0,03-09 11:16:34,3965103,3965397,3817472,12288
62,1890340864,102683,2215,0,0,03-09 11:16:35,6806508,482,0,4096
54,1893294080,10462,6672,1142784,0,03-09 11:16:36,1528093,124494282,1142784,124506112
60,1963798528,2299,4885,15847424,90112,03-09 11:16:37,14995623,15000917,15585280,0
81,1978482688,463,4702,2621440,0,03-09 11:16:38,2838528,2841397,2883584,0
50,1975500800,205,931,11796480,0,03-09 11:16:39,11694080,11695983,11534336,0
49,1967620096,272,1448,12189696,0,03-09 11:16:40,12349483,12357200,12451840,0
49,1961316352,163,889,12189696,0,03-09 11:16:41,12087296,12092457,12189696,0
50,1961336832,163,889,11272192,57344,03-09 11:16:42,11358208,11365588,11272192,0
51,1961439232,272,1448,12189696,0,03-09 11:16:43,12152875,12158963,12189696,0
50,1961443328,163,889,12189696,0,03-09 11:16:44,12218368,12224615,12189696,0
49,1961443328,163,889,12189696,0,03-09 11:16:45,11956224,11960299,11927552,0
61,1961443328,272,1448,6381568,103997440,03-09 11:16:46,6746400,66274454,86016,66318336
47,1961443328,627,2847,8151040,67158016,03-09 11:16:47,8194122,45024381,0,45051904
50,1961521152,517,5332,11534336,73728,03-09 11:16:48,11558912,11563825,11272192,0
52,1967448064,314,1490,6815744,0,03-09 11:16:49,7393330,7400763,7077888,4096
54,2047598592,1606,104259,954368,90886144,03-09 11:16:50,2445622,125749956,0,125779968
72,2071871488,11691,8809,9555968,0,03-09 11:16:51,8392828,8392590,8904704,8192
51,2071871488,272,1448,9568256,0,03-09 11:16:52,10104875,10110514,10354688,0
50,2071851008,163,889,15073280,0,03-09 11:16:53,14659584,14669538,14548992,0
51,2071842816,163,889,12320768,90112,03-09 11:16:54,12288000,12290694,12058624,0
51,2071867392,272,1448,10620928,99868672,03-09 11:16:55,10698795,10705225,10878976,0
53,2071863296,163,889,10878976,0,03-09 11:16:56,10829824,10836956,10878976,0
51,2071863296,163,889,11796480,0,03-09 11:16:57,11825152,11828141,11796480,0
51,2071863296,572,5261,11927552,0,03-09 11:16:58,12087339,12092884,11927552,0
50,2071863296,163,889,11141120,40960,03-09 11:16:59,10895360,10903035,11141120,0
50,2071863296,429,1315,3670016,0,03-09 11:17:00,3568594,112214540,0,112214016
50,2072346624,338,1580,11235328,0,03-09 11:17:01,10502187,10506988,10485760,0
51,2073722880,295,865,11030528,0,03-09 11:17:02,10964992,10969114,11030528,0
50,2076696576,163,2067,7864320,0,03-09 11:17:03,8384519,8391521,7864320,0
52,2076696576,321783,3692,4096,104198144,03-09 11:17:04,5419287,123968879,0,124014592
83,2073997312,429,1225,0,67252224,03-09 11:17:05,326,355,0,4096
55,2073997312,11425,8383,17289216,0,03-09 11:17:06,16646268,16652465,17289216,0
52,2074005504,272,1358,11534336,0,03-09 11:17:07,11558955,11564252,11534336,4096
53,2073997312,463,4702,11665408,0,03-09 11:17:08,11689984,11695983,11665408,0
50,2074013696,163,889,11407360,33366016,03-09 11:17:09,11624448,11629904,11665408,0
50,2074013696,314,1556,11796480,31694848,03-09 11:17:10,11624491,11630331,11534336,0
52,2074013696,217,1339,11141120,69632,03-09 11:17:11,11030528,11035193,11141120,0
51,2074013696,163,889,11403264,0,03-09 11:17:12,11493376,11497746,11403264,0
50,2074001408,272,1448,11272192,0,03-09 11:17:13,11292715,11299936,11272192,0
50,2074005504,163,889,9568256,0,03-09 11:17:14,9449297,25543770,0,25554944
50,2074005504,429,1315,5505024,0,03-09 11:17:15,5683122,85417703,0,85409792
50,2074009600,338,1580,11292672,36864,03-09 11:17:16,11161643,11167778,11292672,0
49,2074009600,295,955,10747904,0,03-09 11:17:17,10833920,10836956,10747904,0
47,2074013696,134046,7254,655360,0,03-09 11:17:18,8194527,4100,655360,0
54,2088579072,12067,9794,8642560,174510080,03-09 11:17:19,1002335,121897804,0,121937920
69,2088677376,1062,134470,6963200,0,03-09 11:17:20,6213755,6212168,6701056,12288
50,2083540992,163,889,12451840,0,03-09 11:17:21,12681216,12687168,12713984,0
49,2075136000,272,1448,12713984,102400,03-09 11:17:22,12480555,12489358,12451840,0
50,2071986176,205,955,10878976,0,03-09 11:17:23,10964992,10969114,11141120,0
49,2071998464,163,865,11276288,58544128,03-09 11:17:24,11493376,11497746,11272192,0
50,2072010752,272,1448,12451840,0,03-09 11:17:25,12218411,12225042,12451840,0
50,2072010752,163,889,12713984,0,03-09 11:17:26,12550144,12555010,12451840,0
51,2072010752,163,889,12320768,0,03-09 11:17:27,12414976,12422852,12320768,0
51,2072010752,572,5261,7995392,32768,03-09 11:17:28,7929840,62104595,0,62107648
53,2072010752,495,1447,8650752,0,03-09 11:17:29,8788835,46883420,0,46878720
51,2072023040,163,889,10506240,0,03-09 11:17:30,10567680,10572640,10506240,0
52,2072023040,1173,99682,8667136,0,03-09 11:17:31,9113775,9119559,8929280,0
46,2072023040,102815,37605,8192,43143168,03-09 11:17:32,5220614,83351084,0,83365888
42,2088861696,11957,10569,966656,100696064,03-09 11:17:33,936542,35192542,0,35213312
32,2079440896,380,2078,16318464,122880,03-09 11:17:34,15654955,15661150,15794176,4096
51,2090258432,1086,134470,12075008,0,03-09 11:17:35,12025979,12027120,12075008,8192
81,2099023872,163,889,2883584,0,03-09 11:17:36,3035136,3039634,2883584,0
50,2099060736,272,1448,11927552,0,03-09 11:17:37,11558955,11564252,11665408,0
50,2099073024,463,4702,11141120,83869696,03-09 11:17:38,11096064,11101272,11141120,0
49,2093281280,163,889,11927552,32768,03-09 11:17:39,12087296,12092457,12189696,0
50,2093203456,272,1448,12582912,0,03-09 11:17:40,12681259,12687595,12582912,0
51,2093219840,163,889,11403264,0,03-09 11:17:41,11493376,11497746,11403264,0
51,2093219840,163,889,11665408,0,03-09 11:17:42,11493376,11497746,11665408,0
50,2082697216,604,2006,4980736,0,03-09 11:17:43,5154490,106096322,0,106102784
50,2082697216,163,889,12603392,0,03-09 11:17:44,12288000,12290694,12341248,0
50,2082697216,163,889,11796480,40960,03-09 11:17:45,11886592,11894220,11796480,0
51,2082697216,272,1448,3276800,0,03-09 11:17:46,11035193,0,3538944,0
48,2091126784,1093,3495,684032,179466240,03-09 11:17:47,1454767,123791068,4096,123826176
57,2093248512,11660,12196,15847424,0,03-09 11:17:48,14995580,15000490,15585280,8192
54,2089476096,272,1448,11534336,0,03-09 11:17:49,11956267,11960726,11796480,0
82,2098290688,163,889,2883584,102400,03-09 11:17:50,2641920,2643160,2621440,0
50,2098290688,253,943,11141120,0,03-09 11:17:51,11030528,11035193,11141120,0
50,2098245632,314,1490,10878976,18067456,03-09 11:17:52,10829867,10837383,10878976,0
49,2097176576,163,889,11272192,32567296,03-09 11:17:53,11558912,11563825,11534336,0
50,2096140288,163,889,11403264,0,03-09 11:17:54,11292672,11299509,11403264,0
51,2095202304,272,1448,12451840,40960,03-09 11:17:55,12353579,12357200,12189696,0
50,2095202304,163,955,12058624,0,03-09 11:17:56,12218368,12224615,12320768,0
50,2093031424,217,1519,7471104,0,03-09 11:17:57,7334769,58504692,0,58507264
51,2092941312,904,5819,7340032,0,03-09 11:17:58,7467613,52011747,0,52006912
52,2092941312,163,889,11816960,0,03-09 11:17:59,11689984,11695983,11816960,0
50,2092941312,163,889,9175040,0,03-09 11:18:00,9707527,9713101,9175040,0
50,2092941312,135206,136752,286720,113004544,03-09 11:18:01,5022375,110706192,0,110731264
57,2108633088,12022,9302,12017664,56639488,03-09 11:18:02,11362428,11366145,11915264,8192
51,2093944832,163,2157,10092544,0,03-09 11:18:03,9908224,9911850,9830400,0
58,2125336576,11713,7965267,18071552,0,03-09 11:18:04,17768614,17776235,18333696,8192
73,2126594048,4837,3084084,9043968,0,03-09 11:18:05,8916992,8920665,8781824,0
49,2126618624,14485,10532154,21889024,110592,03-09 11:18:06,21729280,21739991,21889024,0
49,2126602240,15574,10271785,21684224,63180800,03-09 11:18:07,20672555,20683154,20951040,0
50,2126598144,17257,11812285,22675456,0,03-09 11:18:08,22654976,22665097,22413312,0
49,2125557760,8581,5837255,18087936,0,03-09 11:18:09,18432000,18436041,18350080,0
50,2125496320,13580,9083911,21626880,0,03-09 11:18:10,21524523,21542181,21364736,0
50,2125496320,6436,4271502,14749696,0,03-09 11:18:11,11035193,23637043,0,23638016
49,2125496320,537,1513,6553600,33718272,03-09 11:18:12,6740386,85564913,0,85590016
51,2126471168,314,1466,11816960,77824,03-09 11:18:13,11821099,11828568,11554816,4096
50,2126471168,163,889,10616832,0,03-09 11:18:14,11227143,11232918,10878976,0
45,2126258176,133812,2228,4096,67203072,03-09 11:18:15,6343957,80001792,0,80015360
45,2140856320,12132,9861,11259904,67108864,03-09 11:18:16,2786463,39545928,0,39559168
52,2135613440,295,955,11141120,0,03-09 11:18:17,11030528,11035193,11141120,0
52,2126938112,463,5970,10616832,90112,03-09 11:18:18,10371072,10374403,10354688,0
67,2127749120,272,1514,7077888,0,03-09 11:18:19,7462955,7467354,7340032,0
62,2127839232,163,1159,9306112,0,03-09 11:18:20,8847360,8854587,8912896,4096
49,2127872000,163,807,11800576,61034496,03-09 11:18:21,12288000,12290694,12189696,8192
51,2126802944,272,1448,12189696,0,03-09 11:18:22,11886635,11894647,11927552,4096
51,2125225984,163,889,11403264,36864,03-09 11:18:23,11493376,11497746,11665408,0
50,2125242368,163,889,11272192,0,03-09 11:18:24,11493376,11497746,11272192,0
50,2125254656,272,1448,9306112,0,03-09 11:18:25,8986744,40350983,0,40361984
50,2125254656,495,1448,3932160,0,03-09 11:18:26,6806463,66644277,0,66633728
50,2125254656,163,889,14176256,0,03-09 11:18:27,14200832,14206985,13914112,0
50,2125254656,572,5261,10747904,0,03-09 11:18:28,10895403,10903462,10747904,0
50,2125254656,133746,2162,1052672,23760896,03-09 11:18:29,9317510,26676018,4096,26693632
58,2125111296,11958,9237,10350592,149499904,03-09 11:18:30,1993260,97295907,0,97320960
55,2132086784,272,1448,9568256,0,03-09 11:18:31,9441323,9449724,9306112,4096
51,2126307328,295,955,11534336,0,03-09 11:18:32,11362304,11365588,11272192,0
51,2143399936,163,2157,10878976,0,03-09 11:18:33,11096064,11101272,11141120,0
77,2152722432,314,1490,3932160,0,03-09 11:18:34,3895339,3899088,3932160,0
50,2152763392,163,889,12451840,58019840,03-09 11:18:35,12087296,12092457,12189696,8192
49,2152751104,163,889,12189696,0,03-09 11:18:36,12681216,12687168,12713984,0
50,2149531648,272,1448,12845056,0,03-09 11:18:37,12681259,12687595,12713984,4096
50,2149548032,4884,2410378,14663680,0,03-09 11:18:38,14073979,14075384,14270464,4096
50,2147258368,14773,10527675,19922944,0,03-09 11:18:39,20008960,20021937,20185088,0
49,2140811264,16516,11855304,17174528,33763328,03-09 11:18:40,5022332,93038011,0,93061120
49,2140811264,17053,11976450,23052288,0,03-09 11:18:41,22982656,22995492,22667264,0
51,2140798976,15193,10929145,23068672,0,03-09 11:18:42,23117824,23127650,23068672,0
53,2158202880,16660,11710858,14176256,0,03-09 11:18:43,14332081,14339800,14438400,8192
51,2158120960,15375,2192851,11292672,111022080,03-09 11:18:44,1993264,119773407,0,119803904
52,2158120960,163,889,11403264,131072,03-09 11:18:45,11493376,11497746,11403264,0
55,2141351936,272,1448,10223616,0,03-09 11:18:46,10039339,10044435,9961472,0
51,2141368320,295,955,10878976,0,03-09 11:18:47,11423744,11431667,11665408,0
50,2149740544,529,6036,10616832,0,03-09 11:18:48,10567680,10572640,10616832,0
50,2157838336,338,1514,12062720,86212608,03-09 11:18:49,11755563,11762489,11534336,0
50,2168651776,163,889,10092544,0,03-09 11:18:50,9973760,9977929,10092544,0
49,2174042112,163,889,11141120,32768,03-09 11:18:51,11030528,11035193,10878976,0
50,2172997632,272,1448,12058624,0,03-09 11:18:52,12218411,12225042,12320768,0
50,2172989440,163,889,7737344,0,03-09 11:18:53,7533006,60352931,4096,60354560
49,2173009920,495,1448,7340032,33726464,03-09 11:18:54,8194122,46844911,0,46866432
50,2175713280,314,1490,12603392,0,03-09 11:18:55,12218411,12225042,12079104,8192
66,2184007680,163,889,7864320,65536,03-09 11:18:56,7925760,7929481,7864320,0
66,2168582144,163,889,1572864,0,03-09 11:18:57,7665164,0,1572864,0
54,2182328320,12566,13634,688128,107298816,03-09 11:18:58,1663581,118147680,12288,118177792
54,2182328320,163,1216,17416192,0,03-09 11:18:59,17174652,17181097,17678336,8192
55,2182328320,163,889,9961472,0,03-09 11:19:00,9576448,9581455,9699328,0
50,2177089536,272,1448,11403264,0,03-09 11:19:01,11493419,11498173,11403264,0
50,2170826752,295,955,11665408,86016,03-09 11:19:02,11558912,11563825,11665408,0
49,2169249792,163,2157,11538432,84582400,03-09 11:19:03,11358208,11365588,11272192,0
49,2166099968,272,1448,11665408,0,03-09 11:19:04,11825195,11828568,11927552,0
50,2166104064,11462,7939115,21086208,0,03-09 11:19:05,20344957,20352889,20824064,0
50,2166120448,16393,11614798,23461888,0,03-09 11:19:06,23711744,23722361,23724032,0
50,2166120448,17116,11583609,15073280,33677312,03-09 11:19:07,3502513,105488324,0,105512960
51,2166120448,16273,11435391,21360640,57344,03-09 11:19:08,21663744,21673912,21884928,0
51,2166104064,14929,10629258,21254144,0,03-09 11:19:09,21729280,21739991,21516288,0
50,2166099968,14117,11794555,23621632,0,03-09 11:19:10,23736846,23749404,23097344,4096
51,2166104064,147976,146662,811008,20971520,03-09 11:19:11,8062011,47192019,4096,47198208
81,2179149824,429,1316,0,84611072,03-09 11:19:12,328,76919401,0,76939264
55,2179526656,11734,9369,13570048,0,03-09 11:19:13,12947623,12952468,13484032,4096
51,2178519040,163,955,11665408,98304,03-09 11:19:14,11689984,11695983,11665408,0
49,2178527232,295,955,12189696,0,03-09 11:19:15,12419072,12422852,12451840,0
50,2175889408,356,1532,12603392,0,03-09 11:19:16,12218411,12225042,12079104,0
50,2173788160,295,955,11276288,90558464,03-09 11:19:17,11493376,11497746,11534336,0
50,2173800448,463,5970,6639616,0,03-09 11:19:18,7083084,7090009,6639616,0
54,2174070784,11817,9740,9859072,33718272,03-09 11:19:19,4458050,122824828,45056,122855424
55,2186670080,163,807,9830400,0,03-09 11:19:20,9777152,9779692,9830400,0
51,2180923392,163,799,11796480,0,03-09 11:19:21,11952128,11960299,11796480,0
50,2180395008,272,1448,12189696,0,03-09 11:19:22,12087339,12092884,12189696,4096
49,2180395008,163,889,12857344,0,03-09 11:19:23,13012992,13017564,12857344,0
50,2176192512,163,889,10162176,89350144,03-09 11:19:24,10629053,10637621,10158080,0
50,2175143936,1070,2729,4096,33665024,03-09 11:19:25,6343499,121899672,4096,121917440
55,2175193088,10949117,26124,4096,0,03-09 11:19:26,10318616,8726,4096,16384
52,2175209472,11438923,16623,0,0,03-09 11:19:27,11431667,0,4096,16384
50,2175205376,12427107,22545,0,0,03-09 11:19:28,12423084,3617,0,4096
50,2175197184,12118096,17551,0,98304,03-09 11:19:29,12026384,0,0,4096
51,2174140416,9709030,14357,0,67108864,03-09 11:19:30,9713607,0,0,4096
49,2174189568,4842075,5745238,19345408,21237760,03-09 11:19:31,18039076,18041108,18972672,4096
50,2174197760,16303,10256163,20578304,0,03-09 11:19:32,20602880,20616648,20840448,0
51,2176901120,18223,11102915,22642688,0,03-09 11:19:33,22192128,22202544,22118400,0
70,2185011200,18536,10989715,17670144,0,03-09 11:19:34,17834027,17841757,17932288,0
68,2185261056,16975,10494168,14155776,36864,03-09 11:19:35,3832582,41668070,0,41676800
49,2185261056,18135,11383146,17825792,33689600,03-09 11:19:36,7004574,69417628,0,69435392
51,2185506816,2426,1180543,10928128,0,03-09 11:19:37,11205019,11215786,10928128,4096
54,2185445376,3508,1352613,647168,134283264,03-09 11:19:38,4344514,126087701,0,126107648
52,2198396928,11017,7810,17551360,0,03-09 11:19:39,16846972,16850702,17547264,0
51,2193174528,272,1358,11796480,0,03-09 11:19:40,11821099,11828568,11534336,4096
52,2188447744,163,807,11370496,77824,03-09 11:19:41,11358208,11365588,11370496,0
49,2188447744,295,1021,12058624,0,03-09 11:19:42,12087296,12092457,12058624,0
50,2188455936,272,1448,8077312,21479424,03-09 11:19:43,8725816,8731340,8335360,8192
50,2188488704,1184,1193,15843328,47972352,03-09 11:19:44,15192191,15198727,15843328,0
51,2185859072,163,889,11010048,0,03-09 11:19:45,10899456,10903035,10747904,0
50,2185793536,272,1448,11366400,0,03-09 11:19:46,11493419,11498173,11628544,4096
50,2185789440,295,955,4456448,21127168,03-09 11:19:47,4625530,105196845,0,105205760
51,2185793536,729,6397,10223616,12582912,03-09 11:19:48,10235904,10242245,10223616,0
50,2189299712,272,1448,7405568,0,03-09 11:19:49,7856560,7863186,7405568,4096
54,2230542336,11548,8754,8105984,0,03-09 11:19:50,7598207,7599643,8110080,4096
92,2303569920,163,955,131072,0,03-09 11:19:51,65536,66079,8110080,4096
50,2299154432,326,2054,11931648,22622208,03-09 11:19:52,11755563,11762489,11927552,0
50,2299146240,163,889,12058624,53764096,03-09 11:19:53,12087296,12092457,12058624,0
50,2295463936,163,889,12144640,0,03-09 11:19:54,12218368,12224615,12144640,0
49,2295468032,272,1448,11796480,0,03-09 11:19:55,11956267,11960726,11796480,0
50,2295468032,429,1316,3461120,33665024,03-09 11:19:56,5022202,109108781,0,109129728
51,2295468032,12543,7840507,22245376,0,03-09 11:19:57,20812028,20815999,21983232,8192
50,2295468032,17630,12216245,23855104,77824,03-09 11:19:58,23842859,23854946,24117248,0
50,2295468032,16333,12114283,23740416,0,03-09 11:19:59,23842816,23854519,23740416,0
49,2295468032,12277,8919564,20447232,0,03-09 11:20:00,20672512,20682727,20447232,0
50,2295468032,15542,10257179,21237760,75554816,03-09 11:20:01,21069867,21079628,20709376,0
52,2295349248,8414,5241964,4440064,0,03-09 11:20:02,7563784,59294086,0,59297792
39,2305814528,24297,8633343,18989056,67215360,03-09 11:20:03,1530379,60023284,16384,60047360
53,2305814528,16082,11257252,22020096,73728,03-09 11:20:04,21995563,22004734,21757952,4096
51,2305814528,14827,10645827,22282240,0,03-09 11:20:05,22323200,22334702,22282240,0
50,2297962496,15841,11013272,22626304,0,03-09 11:20:06,22851584,22863334,22888448,0
49,2296385536,13496,11708710,20684800,0,03-09 11:20:07,21170849,21184249,20684800,4096
50,2292707328,1984,1250456,618496,62259200,03-09 11:20:08,4625762,92733130,0,92729344
49,2292707328,6468064,11634,0,23658496,03-09 11:20:09,8828776,19832481,0,19857408
50,2292183040,12357799,18656,0,0,03-09 11:20:10,12356773,0,0,4096
50,2292199424,12667633,18149,0,0,03-09 11:20:11,12555010,0,0,4096
50,2292195328,12460312,17825,0,0,03-09 11:20:12,12422852,0,0,4096
49,2292195328,7926509,12652,8192,23052288,03-09 11:20:13,8509086,43268567,4096,43270144
58,2330603520,11591,8862,12627968,89681920,03-09 11:20:14,5032569,66667503,45056,66691072
84,2375303168,217,1527,3276800,0,03-09 11:20:15,3235840,3237871,3276800,0
55,2339315712,272,1448,9961472,0,03-09 11:20:16,9707563,9714040,9699328,0
49,2339307520,361,1021,12070912,0,03-09 11:20:17,12349440,12356773,12333056,0
49,2339307520,463,5970,11272192,0,03-09 11:20:18,11427840,11431667,11272192,0
50,2335174656,1359,1818,11788288,76431360,03-09 11:20:19,11695997,11701298,11788288,0
49,2335174656,163,889,10616832,0,03-09 11:20:20,10436608,10440483,10616832,0
49,2335191040,163,889,9961472,0,03-09 11:20:21,9904128,9911850,9699328,0
50,2335186944,272,1448,9437184,0,03-09 11:20:22,9777195,9780119,9699328,0
51,2335186944,429,1316,6991872,0,03-09 11:20:23,6872416,53071752,4096,53075968
50,2335186944,429,1316,69632,67268608,03-09 11:20:24,7506361,82957526,61440,82968576
54,2347225088,4398137,16579,40960,53104640,03-09 11:20:25,4041405,27109699,40960,27131904
51,2338320384,10384516,16891,0,0,03-09 11:20:26,10176166,0,40960,27131904
51,2338328576,11397634,18491,0,0,03-09 11:20:27,11365588,0,40960,27131904
50,2338332672,12113589,25179,0,0,03-09 11:20:28,12092689,3617,0,4096
